## Inventory Import ## No Matching Master Found:: Code: 5TOS6, Tex: OS, Thickness: 54, Type: T, Style: , Width: 6, Length: 96
## Inventory Import ## No Matching Master Found:: Code: 5TOS6, Tex: OS, Thickness: 54, Type: T, Style: , Width: 6, Length: 96
## Inventory Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 96
## Inventory Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 96
## Inventory Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 96
## Inventory Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 96
## Inventory Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 96
## Inventory Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 96
## Inventory Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 96
## Inventory Import ## No Matching Master Found:: Code: E12LOMC5, Tex: OM, Thickness: 12, Type: L, Style: C5, Width: 16, Length: 192
## Inventory Import ## No Matching Master Found:: Code: E12LOMC5, Tex: OM, Thickness: 12, Type: L, Style: C5, Width: 16, Length: 192
## Inventory Import ## No Matching Master Found:: Code: E12LOMC5, Tex: OM, Thickness: 12, Type: L, Style: C5, Width: 16, Length: 192
## Inventory Import ## No Matching Master Found:: Code: E12LOMC5, Tex: OM, Thickness: 12, Type: L, Style: C5, Width: 16, Length: 192
## Inventory Import ## No Matching Master Found:: Code: E12LOMC5, Tex: OM, Thickness: 12, Type: L, Style: C5, Width: 16, Length: 192
## Inventory Import ## No Matching Master Found:: Code: E12LOMC5, Tex: OM, Thickness: 12, Type: L, Style: C5, Width: 16, Length: 192
## Inventory Import ## No Matching Master Found:: Code: E12LOMC5, Tex: OM, Thickness: 12, Type: L, Style: C5, Width: 16, Length: 192
## Inventory Import ## No Matching Master Found:: Code: E12LOMC5, Tex: OM, Thickness: 12, Type: L, Style: C5, Width: 16, Length: 192
## Inventory Import ## No Matching Master Found:: Code: E12LOMC5, Tex: OM, Thickness: 12, Type: L, Style: C5, Width: 16, Length: 192
## Inventory Import ## No Matching Master Found:: Code: E12LOMC5, Tex: OM, Thickness: 12, Type: L, Style: C5, Width: 16, Length: 192
## Inventory Import ## No Matching Master Found:: Code: E7POMSQ, Tex: OM, Thickness: 716, Type: P, Style: SQ, Width: 48, Length: 96
## Inventory Import ## No Matching Master Found:: Code: E7POMSQ, Tex: OM, Thickness: 716, Type: P, Style: SQ, Width: 48, Length: 96
## Inventory Import ## No Matching Master Found:: Code: E7POMSQ, Tex: OM, Thickness: 716, Type: P, Style: SQ, Width: 48, Length: 96
## Inventory Import ## No Matching Master Found:: Code: E7POMSQ, Tex: OM, Thickness: 716, Type: P, Style: SQ, Width: 48, Length: 96
## Inventory Import ## No Matching Master Found:: Code: R12LOMC5, Tex: OM, Thickness: 12, Type: L, Style: C5, Width: 16, Length: 192
## Inventory Import ## No Matching Master Found:: Code: R12LOMC5, Tex: OM, Thickness: 12, Type: L, Style: C5, Width: 16, Length: 144
## Inventory Import ## No Matching Master Found:: Code: R12LOMC5, Tex: OM, Thickness: 12, Type: L, Style: C5, Width: 16, Length: 192
## Inventory Import ## No Matching Master Found:: Code: R12LOMSG, Tex: OM, Thickness: 12, Type: L, Style: SG, Width: 11 1/2, Length: 48
## Inventory Import ## No Matching Master Found:: Code: R4TOS12, Tex: OS, Thickness: 44, Type: T, Style: , Width: 12, Length: 192
## Inventory Import ## No Matching Master Found:: Code: R4TOS2, Tex: OS, Thickness: 44, Type: T, Style: , Width: 2, Length: 192
## Inventory Import ## No Matching Master Found:: Code: R4TOS4, Tex: OS, Thickness: 44, Type: T, Style: , Width: 4, Length: 192
## Inventory Import ## No Matching Master Found:: Code: R5TOS4, Tex: OS, Thickness: 54, Type: T, Style: , Width: 4, Length: 192
## Inventory Import ## No Matching Master Found:: Code: R5TOS6, Tex: OS, Thickness: 54, Type: T, Style: , Width: 6, Length: 192
## Inventory Import ## No Matching Master Found:: Code: R7POMSP, Tex: OM, Thickness: 716, Type: P, Style: SP, Width: 48, Length: 96
Creating connection...
Creating command.
Opening connection...
Creating command.
Executing read
Starting read
## Sales Import ## No Matching Master Found:: Code: E7POMSQ, Tex: OM, Thickness: 716, Type: P, Style: SQ, Width: 48, Length: 96
## Sales Import ## No Matching Master Found:: Code: R12LOMC5, Tex: OM, Thickness: 12, Type: L, Style: C5, Width: 16, Length: 144
## Sales Import ## No Matching Master Found:: Code: R12LOMC5, Tex: OM, Thickness: 12, Type: L, Style: C5, Width: 16, Length: 192
## Sales Import ## No Matching Master Found:: Code: R12LOMSG, Tex: OM, Thickness: 12, Type: L, Style: SG, Width: 11 1/2, Length: 48
## Forecast Import ## Input string was not in a correct format.
## Forecast Import ## Input string was not in a correct format.
## Forecast Import ## Input string was not in a correct format.
## Forecast Import ## Input string was not in a correct format.
## Forecast Import ## Input string was not in a correct format.
## Forecast Import ## Input string was not in a correct format.
## Forecast Import ## Input string was not in a correct format.
## Forecast Import ## Input string was not in a correct format.
## Forecast Import ## No Matching Master Found:: Code: 5TOS6, Tex: OS, Thickness: 54, Type: T, Style: , Width: 6, Length: 072
## Forecast Import ## No Matching Master Found:: Code: 5TOS6, Tex: OS, Thickness: 54, Type: T, Style: , Width: 6, Length: 072
## Forecast Import ## No Matching Master Found:: Code: 5TOS6, Tex: OS, Thickness: 54, Type: T, Style: , Width: 6, Length: 072
## Forecast Import ## No Matching Master Found:: Code: 5TTXASMBLKUN, Tex: TXA/SM, Thickness: 54, Type: T, Style: BLNK, Width: 46, Length: 016
## Forecast Import ## No Matching Master Found:: Code: 5TTXASMBLKUN, Tex: TXA/SM, Thickness: 54, Type: T, Style: BLNK, Width: 46, Length: 016
## Forecast Import ## No Matching Master Found:: Code: 5TTXASMBLKUN, Tex: TXA/SM, Thickness: 54, Type: T, Style: BLNK, Width: 46, Length: 016
## Forecast Import ## No Matching Master Found:: Code: 7PTXA34, Tex: TXA, Thickness: 716, Type: P, Style: 34, Width: 48, Length: 045
## Forecast Import ## No Matching Master Found:: Code: 7PTXA34, Tex: TXA, Thickness: 716, Type: P, Style: 34, Width: 48, Length: 045
## Forecast Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 020
## Forecast Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 027
## Forecast Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 032
## Forecast Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 043
## Forecast Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 048
## Forecast Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 041
## Forecast Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 049
## Forecast Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 001
## Forecast Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 045
## Forecast Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 050
## Forecast Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 049
## Forecast Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 015
## Forecast Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 020
## Forecast Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 047
## Forecast Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 050
## Forecast Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 045
## Forecast Import ## No Matching Master Found:: Code: 7PWASTE, Tex: MISC, Thickness: 716, Type: P, Style: , Width: 48, Length: 001
